backend,pipeline,scheduler,n_pods_batch,n_nodes_or_atoms,n_shots,max_iter,pod_name,seed,pod_wall_s,batch_wall_s,n_iterations,total_qpu_wait_s,total_circuit_time_s,avg_qpu_wait_s,avg_circuit_time_s,approximation_ratio,converged,total_elapsed_s,timestamp
iqm_emerald,gate,default,1,10,100,5,qaoa-exp-iqm-emerald-n1-q10-0,100,365.0,371.208,1,54.169,59.492,54.169,59.492,0.561333,False,300.05,2026-06-18T18:59:21.754322+00:00
iqm_emerald,gate,default,5,10,100,5,qaoa-exp-iqm-emerald-n5-q10-0,100,474.0,539.728,1,43.31,47.63,43.31,47.63,0.631333,False,421.605,2026-06-18T19:08:22.957501+00:00
iqm_emerald,gate,default,5,10,100,5,qaoa-exp-iqm-emerald-n5-q10-1,101,532.0,539.728,1,74.932,78.878,74.932,78.878,0.51,False,448.227,2026-06-18T19:08:23.225602+00:00
iqm_emerald,gate,default,5,10,100,5,qaoa-exp-iqm-emerald-n5-q10-2,102,503.0,539.728,1,47.564,51.823,47.564,51.823,0.584667,False,445.688,2026-06-18T19:08:23.472294+00:00
iqm_emerald,gate,default,5,10,100,5,qaoa-exp-iqm-emerald-n5-q10-3,103,507.0,539.728,1,76.025,80.409,76.025,80.409,0.574,False,420.913,2026-06-18T19:08:23.725151+00:00
iqm_emerald,gate,default,5,10,100,5,qaoa-exp-iqm-emerald-n5-q10-4,104,536.0,539.728,1,102.445,107.408,102.445,107.408,0.582667,False,422.684,2026-06-18T19:08:23.883250+00:00
iqm_emerald,gate,default,10,10,100,5,qaoa-exp-iqm-emerald-n10-q10-0,100,890.0,1021.099,1,45.392,50.386,45.392,50.386,0.574667,False,834.435,2026-06-18T19:25:26.291814+00:00
iqm_emerald,gate,default,10,10,100,5,qaoa-exp-iqm-emerald-n10-q10-1,101,926.0,1021.099,1,102.312,107.674,102.312,107.674,0.534,False,812.915,2026-06-18T19:25:26.441573+00:00
iqm_emerald,gate,default,10,10,100,5,qaoa-exp-iqm-emerald-n10-q10-2,102,894.0,1021.099,1,73.009,78.124,73.009,78.124,0.583333,False,810.13,2026-06-18T19:25:26.588831+00:00
iqm_emerald,gate,default,10,10,100,5,qaoa-exp-iqm-emerald-n10-q10-3,103,866.0,1021.099,1,45.262,49.283,45.262,49.283,0.582,False,811.404,2026-06-18T19:25:26.735345+00:00
iqm_emerald,gate,default,10,10,100,5,qaoa-exp-iqm-emerald-n10-q10-4,104,923.0,1021.099,1,76.173,81.231,76.173,81.231,0.576,False,836.218,2026-06-18T19:25:26.875016+00:00
iqm_emerald,gate,default,10,10,100,5,qaoa-exp-iqm-emerald-n10-q10-5,105,986.0,1021.099,1,135.206,139.284,135.206,139.284,0.546,False,841.436,2026-06-18T19:25:27.022136+00:00
iqm_emerald,gate,default,10,10,100,5,qaoa-exp-iqm-emerald-n10-q10-6,106,950.0,1021.099,1,105.208,108.792,105.208,108.792,0.564667,False,834.944,2026-06-18T19:25:27.172282+00:00
iqm_emerald,gate,default,10,10,100,5,qaoa-exp-iqm-emerald-n10-q10-7,107,1011.0,1021.099,1,161.048,165.768,161.048,165.768,0.546,False,839.145,2026-06-18T19:25:27.320282+00:00
iqm_emerald,gate,default,10,10,100,5,qaoa-exp-iqm-emerald-n10-q10-8,108,981.0,1021.099,1,130.95,134.717,130.95,134.717,0.608,False,840.809,2026-06-18T19:25:27.458926+00:00
iqm_emerald,gate,default,10,10,100,5,qaoa-exp-iqm-emerald-n10-q10-9,109,1014.0,1021.099,1,167.791,171.244,167.791,171.244,0.548,False,837.031,2026-06-18T19:25:27.598618+00:00
iqm_emerald,gate,default,20,10,100,5,qaoa-exp-iqm-emerald-n20-q10-0,100,1338.0,2055.041,1,128.343,133.392,128.343,133.392,0.566667,False,1197.685,2026-06-18T19:59:47.952532+00:00
iqm_emerald,gate,default,20,10,100,5,qaoa-exp-iqm-emerald-n20-q10-1,101,1303.0,2055.041,1,63.62,68.097,63.62,68.097,0.542667,False,1227.401,2026-06-18T19:59:48.102228+00:00
iqm_emerald,gate,default,20,10,100,5,qaoa-exp-iqm-emerald-n20-q10-2,102,1902.0,2055.041,1,153.676,158.816,153.676,158.816,0.592667,False,1737.376,2026-06-18T19:59:48.240420+00:00
iqm_emerald,gate,default,20,10,100,5,qaoa-exp-iqm-emerald-n20-q10-3,103,1400.0,2055.041,1,182.066,187.598,182.066,187.598,0.576,False,1206.602,2026-06-18T19:59:48.374420+00:00
iqm_emerald,gate,default,20,10,100,5,qaoa-exp-iqm-emerald-n20-q10-4,104,1637.0,2055.041,1,66.073,70.403,66.073,70.403,0.562,False,1560.187,2026-06-18T19:59:48.509753+00:00
iqm_emerald,gate,default,20,10,100,5,qaoa-exp-iqm-emerald-n20-q10-5,105,1487.0,2055.041,1,217.52,222.724,217.52,222.724,0.515333,False,1258.15,2026-06-18T19:59:48.657435+00:00
iqm_emerald,gate,default,20,10,100,5,qaoa-exp-iqm-emerald-n20-q10-6,106,1962.0,2055.041,1,188.726,193.881,188.726,193.881,0.555333,False,1761.569,2026-06-18T19:59:48.798122+00:00
iqm_emerald,gate,default,20,10,100,5,qaoa-exp-iqm-emerald-n20-q10-7,107,1336.0,2055.041,1,40.371,44.818,40.371,44.818,0.536667,False,1284.506,2026-06-18T19:59:48.938760+00:00
iqm_emerald,gate,default,20,10,100,5,qaoa-exp-iqm-emerald-n20-q10-8,108,1876.0,2055.041,1,214.892,220.156,214.892,220.156,0.6,False,1649.504,2026-06-18T19:59:49.079773+00:00
