backend,pipeline,scheduler,n_pods_batch,n_nodes_or_atoms,n_shots,max_iter,pod_name,seed,pod_wall_s,batch_wall_s,n_iterations,total_qpu_wait_s,total_circuit_time_s,avg_qpu_wait_s,avg_circuit_time_s,approximation_ratio,converged,total_elapsed_s,timestamp
sv1,gate,default,10,14,100,5,qaoa-exp-sv1-n10-q14-0,100,40.0,47.951,1,2.062,4.301,2.062,4.301,0.694286,False,30.611,2026-06-18T21:27:00.591176+00:00
sv1,gate,default,10,14,100,5,qaoa-exp-sv1-n10-q14-1,101,41.0,47.951,1,2.081,3.871,2.081,3.871,0.55619,False,30.473,2026-06-18T21:27:00.859929+00:00
sv1,gate,default,10,14,100,5,qaoa-exp-sv1-n10-q14-2,102,41.0,47.951,1,2.114,4.429,2.114,4.429,0.595714,False,30.295,2026-06-18T21:27:01.137569+00:00
sv1,gate,default,10,14,100,5,qaoa-exp-sv1-n10-q14-3,103,40.0,47.951,1,2.219,3.873,2.219,3.873,0.629048,False,31.36,2026-06-18T21:27:01.390663+00:00
sv1,gate,default,10,14,100,5,qaoa-exp-sv1-n10-q14-4,104,40.0,47.951,1,2.046,3.674,2.046,3.674,0.595714,False,30.548,2026-06-18T21:27:01.631247+00:00
sv1,gate,default,10,14,100,5,qaoa-exp-sv1-n10-q14-5,105,39.0,47.951,1,2.099,4.029,2.099,4.029,0.670476,False,30.121,2026-06-18T21:27:01.872348+00:00
sv1,gate,default,10,14,100,5,qaoa-exp-sv1-n10-q14-6,106,40.0,47.951,1,2.079,4.282,2.079,4.282,0.651905,False,30.44,2026-06-18T21:27:02.025128+00:00
sv1,gate,default,10,14,100,5,qaoa-exp-sv1-n10-q14-7,107,39.0,47.951,1,2.129,3.735,2.129,3.735,0.608095,False,30.278,2026-06-18T21:27:02.160302+00:00
sv1,gate,default,10,14,100,5,qaoa-exp-sv1-n10-q14-8,108,40.0,47.951,1,2.156,3.802,2.156,3.802,0.676667,False,29.723,2026-06-18T21:27:02.299721+00:00
sv1,gate,default,10,14,100,5,qaoa-exp-sv1-n10-q14-9,109,39.0,47.951,1,2.122,3.4,2.122,3.4,0.502381,False,29.691,2026-06-18T21:27:02.435940+00:00
