backend,pipeline,scheduler,n_pods_batch,n_nodes_or_atoms,n_shots,max_iter,pod_name,seed,pod_wall_s,batch_wall_s,n_iterations,total_qpu_wait_s,total_circuit_time_s,avg_qpu_wait_s,avg_circuit_time_s,approximation_ratio,converged,total_elapsed_s,timestamp
tn1,gate,default,20,10,100,5,qaoa-exp-tn1-n20-q10-0,100,297.0,418.863,0,0,0,,,0.568667,False,226.035,2026-06-18T05:35:24.722750+00:00
tn1,gate,default,20,10,100,5,qaoa-exp-tn1-n20-q10-1,101,342.0,418.863,0,0,0,,,0.552667,False,193.335,2026-06-18T05:35:24.873998+00:00
tn1,gate,default,20,10,100,5,qaoa-exp-tn1-n20-q10-2,102,365.0,418.863,0,0,0,,,0.596,False,248.523,2026-06-18T05:35:25.012818+00:00
tn1,gate,default,20,10,100,5,qaoa-exp-tn1-n20-q10-3,103,369.0,418.863,0,0,0,,,0.652,False,296.82,2026-06-18T05:35:25.145248+00:00
tn1,gate,default,20,10,100,5,qaoa-exp-tn1-n20-q10-4,104,378.0,418.863,0,0,0,,,0.633333,False,155.301,2026-06-18T05:35:25.276755+00:00
tn1,gate,default,20,10,100,5,qaoa-exp-tn1-n20-q10-5,105,393.0,418.863,0,0,0,,,0.634,False,249.658,2026-06-18T05:35:25.404225+00:00
tn1,gate,default,20,10,100,5,qaoa-exp-tn1-n20-q10-6,106,415.0,418.863,0,0,0,,,0.650667,False,266.316,2026-06-18T05:35:25.540046+00:00
tn1,gate,default,20,10,100,5,qaoa-exp-tn1-n20-q10-7,107,257.0,418.863,0,0,0,,,0.622667,False,174.705,2026-06-18T05:35:25.669532+00:00
tn1,gate,default,20,10,100,5,qaoa-exp-tn1-n20-q10-8,108,393.0,418.863,0,0,0,,,0.66,False,259.83,2026-06-18T05:35:25.802839+00:00
tn1,gate,default,20,10,100,5,qaoa-exp-tn1-n20-q10-9,109,335.0,418.863,0,0,0,,,0.506,False,249.306,2026-06-18T05:35:25.939538+00:00
tn1,gate,default,20,10,100,5,qaoa-exp-tn1-n20-q10-10,110,392.0,418.863,0,0,0,,,0.648,False,291.684,2026-06-18T05:35:26.079545+00:00
tn1,gate,default,20,10,100,5,qaoa-exp-tn1-n20-q10-11,111,343.0,418.863,0,0,0,,,0.589333,False,213.472,2026-06-18T05:35:26.214173+00:00
tn1,gate,default,20,10,100,5,qaoa-exp-tn1-n20-q10-12,112,375.0,418.863,0,0,0,,,0.560667,False,248.276,2026-06-18T05:35:26.345464+00:00
tn1,gate,default,20,10,100,5,qaoa-exp-tn1-n20-q10-13,113,403.0,418.863,0,0,0,,,0.658,False,306.292,2026-06-18T05:35:26.484076+00:00
tn1,gate,default,20,10,100,5,qaoa-exp-tn1-n20-q10-14,114,373.0,418.863,0,0,0,,,0.546,False,252.866,2026-06-18T05:35:26.622431+00:00
tn1,gate,default,20,10,100,5,qaoa-exp-tn1-n20-q10-15,115,303.0,418.863,0,0,0,,,0.656667,False,216.509,2026-06-18T05:35:26.766450+00:00
tn1,gate,default,20,10,100,5,qaoa-exp-tn1-n20-q10-16,116,352.0,418.863,0,0,0,,,0.616667,False,283.281,2026-06-18T05:35:26.901189+00:00
tn1,gate,default,20,10,100,5,qaoa-exp-tn1-n20-q10-17,117,361.0,418.863,0,0,0,,,0.552667,False,276.358,2026-06-18T05:35:27.029842+00:00
tn1,gate,default,20,10,100,5,qaoa-exp-tn1-n20-q10-18,118,368.0,418.863,0,0,0,,,0.578667,False,182.631,2026-06-18T05:35:27.156310+00:00
tn1,gate,default,20,10,100,5,qaoa-exp-tn1-n20-q10-19,119,383.0,418.863,0,0,0,,,0.602,False,166.146,2026-06-18T05:35:27.300149+00:00
