run_name,backend,scheduler,n_workers,n_nodes,n_shots,seed,batch_wall_s,leader_wall_s,qpu_queue_wait_s,leader_submit_to_result_s,total_worker_idle_s,avg_worker_idle_s,worker_node_seconds,n_workers_completed,leader_failed,cost_aggregated,workers_completed,timestamp,repeat,worker_0_idle_s,worker_1_idle_s,worker_2_idle_s,worker_3_idle_s,worker_4_idle_s,worker_5_idle_s,worker_6_idle_s,worker_7_idle_s
gang-dm1-default-w2-q10,dm1,default,2,10,1000,42,33.065,21.0,1.719,3.544,24.959,12.479,24.959,2,False,,2,2026-06-23T18:47:28.394356+00:00,1,12.365,12.594,,,,,,
gang-dm1-default-w2-q10,dm1,default,2,10,1000,42,23.015,17.0,1.795,4.106,26.297,13.148,26.297,2,False,,2,2026-06-23T18:47:57.569824+00:00,2,13.737,12.56,,,,,,
gang-dm1-default-w2-q10,dm1,default,2,10,1000,42,33.369,20.0,1.768,3.404,25.492,12.746,25.492,2,False,,2,2026-06-23T18:48:36.980948+00:00,3,12.772,12.72,,,,,,
gang-dm1-default-w2-q10,dm1,default,2,10,1000,42,22.821,17.0,1.806,3.883,24.641,12.321,24.641,2,False,,2,2026-06-23T18:49:06.072739+00:00,4,12.352,12.289,,,,,,
gang-dm1-default-w2-q10,dm1,default,2,10,1000,42,33.081,20.0,1.715,3.23,24.387,12.193,24.387,2,False,,2,2026-06-23T18:49:45.339151+00:00,5,12.199,12.188,,,,,,
gang-dm1-default-w2-q10,dm1,default,2,10,1000,42,33.123,21.0,1.814,3.798,24.374,12.187,24.374,2,False,,2,2026-06-23T18:50:25.074224+00:00,6,12.126,12.248,,,,,,
gang-dm1-default-w2-q10,dm1,default,2,10,1000,42,33.217,21.0,1.822,3.254,25.0,12.5,25.0,2,False,,2,2026-06-23T18:51:04.455686+00:00,7,12.38,12.62,,,,,,
gang-dm1-default-w2-q10,dm1,default,2,10,1000,42,33.204,21.0,1.83,3.227,24.68,12.34,24.68,2,False,,2,2026-06-23T18:51:44.342111+00:00,8,12.313,12.368,,,,,,
gang-dm1-default-w2-q10,dm1,default,2,10,1000,42,23.33,17.0,1.85,4.015,25.031,12.516,25.031,2,False,,2,2026-06-23T18:52:14.000522+00:00,9,12.448,12.584,,,,,,
gang-dm1-default-w2-q10,dm1,default,2,10,1000,42,24.772,20.0,1.741,3.404,24.575,12.288,24.575,2,False,,2,2026-06-23T18:52:44.978125+00:00,10,12.256,12.32,,,,,,
gang-dm1-default-w4-q10,dm1,default,4,10,1000,42,34.122,21.0,1.897,3.29,50.195,12.549,50.195,4,False,,4,2026-06-23T18:53:27.289730+00:00,1,12.448,12.759,12.427,12.56,,,,
gang-dm1-default-w4-q10,dm1,default,4,10,1000,42,34.068,22.0,1.738,3.916,52.279,13.07,52.279,4,False,,4,2026-06-23T18:54:09.409920+00:00,2,12.624,13.014,13.328,13.312,,,,
gang-dm1-default-w4-q10,dm1,default,4,10,1000,42,23.962,18.0,1.705,4.356,51.139,12.785,51.139,4,False,,4,2026-06-23T18:54:41.941842+00:00,3,12.947,13.094,11.977,13.12,,,,
gang-dm1-default-w4-q10,dm1,default,4,10,1000,42,34.417,22.0,1.911,3.202,54.045,13.511,54.045,4,False,,4,2026-06-23T18:55:24.793908+00:00,4,13.698,13.42,13.448,13.478,,,,
gang-dm1-default-w4-q10,dm1,default,4,10,1000,42,34.231,21.0,1.759,3.192,49.952,12.488,49.952,4,False,,4,2026-06-23T18:56:07.351376+00:00,5,12.436,12.622,12.319,12.575,,,,
gang-dm1-default-w4-q10,dm1,default,4,10,1000,42,34.474,22.0,1.767,3.464,48.572,12.143,48.572,4,False,,4,2026-06-23T18:56:50.591346+00:00,6,12.34,11.922,12.149,12.161,,,,
gang-dm1-default-w4-q10,dm1,default,4,10,1000,42,24.396,17.0,2.887,4.102,51.263,12.816,51.263,4,False,,4,2026-06-23T18:57:23.584824+00:00,7,12.739,12.88,12.888,12.757,,,,
gang-dm1-default-w4-q10,dm1,default,4,10,1000,42,24.666,17.0,1.698,3.905,51.402,12.85,51.402,4,False,,4,2026-06-23T18:57:56.620694+00:00,8,12.825,12.752,12.906,12.919,,,,
gang-dm1-default-w4-q10,dm1,default,4,10,1000,42,34.745,20.0,1.785,3.025,50.069,12.517,50.069,4,False,,4,2026-06-23T18:58:39.659949+00:00,9,12.609,12.634,12.302,12.524,,,,
gang-dm1-default-w4-q10,dm1,default,4,10,1000,42,24.447,17.0,1.704,3.933,50.895,12.724,50.895,4,False,,4,2026-06-23T18:59:12.272134+00:00,10,12.548,12.702,12.736,12.91,,,,
gang-dm1-default-w8-q10,dm1,default,8,10,1000,42,37.109,21.0,1.757,3.184,102.883,12.86,102.883,8,False,,8,2026-06-23T19:00:01.651167+00:00,1,12.104,13.003,12.915,12.021,13.192,13.154,13.248,13.246
