run_name,scheduler,backend,n_pods,n_consumers,n_shots,n_nodes,seed,job_ok,batch_wall_s,total_consumer_idle_s,mean_consumer_idle_s,qpu_queue_wait_s,n_consumers_observed,timestamp,repeat
gang-iqm-emerald-default-n3-q10,default,iqm_emerald,3,2,100,10,42,True,9600.528,19159.991,9579.995,9574.729,2,2026-06-30T21:05:20.687241+00:00,1
gang-iqm-emerald-default-n3-q10,default,iqm_emerald,3,2,100,10,42,True,22.05,28.591,14.296,6.039,2,2026-06-30T21:05:47.872597+00:00,2
gang-iqm-emerald-default-n3-q10,default,iqm_emerald,3,2,100,10,42,True,23.442,18.089,9.045,6.818,2,2026-06-30T21:06:16.760176+00:00,3
gang-iqm-emerald-default-n3-q10,default,iqm_emerald,3,2,100,10,42,True,21.941,28.73,14.365,7.519,2,2026-06-30T21:06:43.826750+00:00,4
gang-iqm-emerald-default-n3-q10,default,iqm_emerald,3,2,100,10,42,True,22.06,18.373,9.187,6.605,2,2026-06-30T21:07:11.071760+00:00,5
gang-iqm-emerald-default-n5-q10,default,iqm_emerald,5,4,100,10,42,True,22.041,58.989,14.747,5.863,4,2026-06-30T21:07:39.197732+00:00,1
gang-iqm-emerald-default-n5-q10,default,iqm_emerald,5,4,100,10,42,True,22.142,53.498,13.375,5.418,4,2026-06-30T21:08:07.227100+00:00,2
gang-iqm-emerald-default-n5-q10,default,iqm_emerald,5,4,100,10,42,True,22.188,37.151,9.288,5.434,4,2026-06-30T21:08:36.448799+00:00,3
gang-iqm-emerald-default-n5-q10,default,iqm_emerald,5,4,100,10,42,True,26.295,37.622,9.406,6.571,4,2026-06-30T21:09:14.889049+00:00,4
gang-iqm-emerald-default-n5-q10,default,iqm_emerald,5,4,100,10,42,True,22.031,53.229,13.307,6.708,4,2026-06-30T21:09:43.514381+00:00,5
gang-iqm-emerald-default-n9-q10,default,iqm_emerald,9,8,100,10,42,True,22.316,80.078,10.01,6.285,8,2026-06-30T21:10:13.564135+00:00,1
gang-iqm-emerald-default-n9-q10,default,iqm_emerald,9,8,100,10,42,True,22.134,82.435,10.304,5.722,8,2026-06-30T21:10:43.275429+00:00,2
gang-iqm-emerald-default-n9-q10,default,iqm_emerald,9,8,100,10,42,True,22.231,79.903,9.988,5.346,8,2026-06-30T21:11:14.906418+00:00,3
gang-iqm-emerald-default-n9-q10,default,iqm_emerald,9,8,100,10,42,True,22.152,80.12,10.015,5.668,8,2026-06-30T21:11:44.506361+00:00,4
gang-iqm-emerald-default-n9-q10,default,iqm_emerald,9,8,100,10,42,True,22.385,121.39,15.174,6.858,8,2026-06-30T21:12:14.263601+00:00,5
gang-iqm-emerald-fluence-n3-q10,fluence,iqm_emerald,3,2,100,10,42,True,85.024,6.073,3.036,7.333,2,2026-06-30T21:13:44.641491+00:00,1
gang-iqm-emerald-fluence-n3-q10,fluence,iqm_emerald,3,2,100,10,42,True,64.052,7.227,3.613,7.604,2,2026-06-30T21:14:53.993134+00:00,2
gang-iqm-emerald-fluence-n3-q10,fluence,iqm_emerald,3,2,100,10,42,True,53.352,6.07,3.035,5.8,2,2026-06-30T21:15:52.564975+00:00,3
gang-iqm-emerald-fluence-n3-q10,fluence,iqm_emerald,3,2,100,10,42,True,54.561,6.135,3.067,6.672,2,2026-06-30T21:16:52.217205+00:00,4
gang-iqm-emerald-fluence-n3-q10,fluence,iqm_emerald,3,2,100,10,42,True,53.378,6.184,3.092,8.692,2,2026-06-30T21:17:50.900979+00:00,5
gang-iqm-emerald-fluence-n5-q10,fluence,iqm_emerald,5,4,100,10,42,True,53.641,14.694,3.673,6.584,4,2026-06-30T21:18:50.784201+00:00,1
gang-iqm-emerald-fluence-n5-q10,fluence,iqm_emerald,5,4,100,10,42,True,53.47,14.801,3.7,5.779,4,2026-06-30T21:19:50.365055+00:00,2
gang-iqm-emerald-fluence-n5-q10,fluence,iqm_emerald,5,4,100,10,42,True,53.489,14.588,3.647,7.539,4,2026-06-30T21:20:49.872661+00:00,3
gang-iqm-emerald-fluence-n5-q10,fluence,iqm_emerald,5,4,100,10,42,True,53.562,14.884,3.721,5.811,4,2026-06-30T21:21:49.499917+00:00,4
gang-iqm-emerald-fluence-n5-q10,fluence,iqm_emerald,5,4,100,10,42,True,53.315,16.25,4.063,8.364,4,2026-06-30T21:22:48.765183+00:00,5
gang-iqm-emerald-fluence-n9-q10,fluence,iqm_emerald,9,8,100,10,42,True,53.531,50.156,6.27,6.909,8,2026-06-30T21:23:49.923381+00:00,1
gang-iqm-emerald-fluence-n9-q10,fluence,iqm_emerald,9,8,100,10,42,True,55.361,47.737,5.967,7.45,8,2026-06-30T21:24:56.217420+00:00,2
gang-iqm-emerald-fluence-n9-q10,fluence,iqm_emerald,9,8,100,10,42,True,53.456,45.793,5.724,5.996,8,2026-06-30T21:25:57.489701+00:00,3
gang-iqm-emerald-fluence-n9-q10,fluence,iqm_emerald,9,8,100,10,42,True,53.745,44.725,5.591,7.288,8,2026-06-30T21:26:59.147332+00:00,4
gang-iqm-emerald-fluence-n9-q10,fluence,iqm_emerald,9,8,100,10,42,True,53.526,47.806,5.976,5.629,8,2026-06-30T21:28:00.308567+00:00,5
