run_name,scheduler,backend,n_pods,n_consumers,n_shots,n_nodes,seed,job_ok,batch_wall_s,total_consumer_idle_s,mean_consumer_idle_s,qpu_queue_wait_s,n_consumers_observed,timestamp,repeat
gang-iqm-garnet-default-n3-q10,default,iqm_garnet,3,2,100,10,42,True,22.375,29.233,14.616,8.642,2,2026-06-30T21:39:59.096843+00:00,1
gang-iqm-garnet-default-n3-q10,default,iqm_garnet,3,2,100,10,42,True,22.208,18.664,9.332,5.531,2,2026-06-30T21:40:26.986167+00:00,2
gang-iqm-garnet-default-n3-q10,default,iqm_garnet,3,2,100,10,42,True,22.252,18.576,9.288,4.97,2,2026-06-30T21:40:54.487142+00:00,3
gang-iqm-garnet-default-n3-q10,default,iqm_garnet,3,2,100,10,42,True,22.231,18.523,9.262,5.58,2,2026-06-30T21:41:22.019324+00:00,4
gang-iqm-garnet-default-n3-q10,default,iqm_garnet,3,2,100,10,42,True,22.265,18.282,9.141,5.423,2,2026-06-30T21:41:49.623992+00:00,5
gang-iqm-garnet-default-n5-q10,default,iqm_garnet,5,4,100,10,42,True,22.41,38.142,9.536,6.523,4,2026-06-30T21:42:21.223055+00:00,1
gang-iqm-garnet-default-n5-q10,default,iqm_garnet,5,4,100,10,42,True,22.279,58.609,14.652,5.422,4,2026-06-30T21:42:50.095329+00:00,2
gang-iqm-garnet-default-n5-q10,default,iqm_garnet,5,4,100,10,42,True,22.316,37.44,9.36,5.016,4,2026-06-30T21:43:18.546522+00:00,3
gang-iqm-garnet-default-n5-q10,default,iqm_garnet,5,4,100,10,42,True,22.32,37.026,9.257,4.913,4,2026-06-30T21:43:46.953225+00:00,4
gang-iqm-garnet-default-n5-q10,default,iqm_garnet,5,4,100,10,42,True,22.208,37.964,9.491,5.288,4,2026-06-30T21:44:15.401739+00:00,5
gang-iqm-garnet-default-n9-q10,default,iqm_garnet,9,8,100,10,42,True,22.264,80.865,10.108,5.414,8,2026-06-30T21:44:46.769023+00:00,1
gang-iqm-garnet-default-n9-q10,default,iqm_garnet,9,8,100,10,42,True,22.365,91.922,11.49,5.448,8,2026-06-30T21:45:18.159710+00:00,2
gang-iqm-garnet-default-n9-q10,default,iqm_garnet,9,8,100,10,42,True,22.176,87.026,10.878,5.59,8,2026-06-30T21:45:48.067874+00:00,3
gang-iqm-garnet-default-n9-q10,default,iqm_garnet,9,8,100,10,42,True,22.277,76.698,9.587,4.752,8,2026-06-30T21:46:18.121671+00:00,4
gang-iqm-garnet-default-n9-q10,default,iqm_garnet,9,8,100,10,42,True,22.191,76.44,9.555,5.198,8,2026-06-30T21:46:48.114652+00:00,5
gang-iqm-garnet-fluence-n3-q10,fluence,iqm_garnet,3,2,100,10,42,True,53.963,6.115,3.057,5.28,2,2026-06-30T21:47:47.496048+00:00,1
gang-iqm-garnet-fluence-n3-q10,fluence,iqm_garnet,3,2,100,10,42,True,53.843,6.106,3.053,5.663,2,2026-06-30T21:48:46.767507+00:00,2
gang-iqm-garnet-fluence-n3-q10,fluence,iqm_garnet,3,2,100,10,42,True,53.896,6.081,3.04,5.556,2,2026-06-30T21:49:46.028169+00:00,3
gang-iqm-garnet-fluence-n3-q10,fluence,iqm_garnet,3,2,100,10,42,True,53.919,6.073,3.036,5.4,2,2026-06-30T21:50:45.390881+00:00,4
gang-iqm-garnet-fluence-n3-q10,fluence,iqm_garnet,3,2,100,10,42,True,53.783,6.059,3.03,5.639,2,2026-06-30T21:51:44.413842+00:00,5
gang-iqm-garnet-fluence-n5-q10,fluence,iqm_garnet,5,4,100,10,42,True,54.148,14.531,3.633,5.481,4,2026-06-30T21:52:47.114370+00:00,1
gang-iqm-garnet-fluence-n5-q10,fluence,iqm_garnet,5,4,100,10,42,True,53.883,14.591,3.648,6.041,4,2026-06-30T21:53:47.484593+00:00,2
gang-iqm-garnet-fluence-n5-q10,fluence,iqm_garnet,5,4,100,10,42,True,53.771,14.501,3.625,5.559,4,2026-06-30T21:54:47.586129+00:00,3
gang-iqm-garnet-fluence-n5-q10,fluence,iqm_garnet,5,4,100,10,42,True,53.756,14.346,3.587,5.713,4,2026-06-30T21:55:47.565623+00:00,4
gang-iqm-garnet-fluence-n5-q10,fluence,iqm_garnet,5,4,100,10,42,True,53.709,14.289,3.572,5.793,4,2026-06-30T21:56:47.444415+00:00,5
gang-iqm-garnet-fluence-n9-q10,fluence,iqm_garnet,9,8,100,10,42,True,53.848,50.54,6.317,5.601,8,2026-06-30T21:57:49.413128+00:00,1
gang-iqm-garnet-fluence-n9-q10,fluence,iqm_garnet,9,8,100,10,42,True,55.44,46.344,5.793,5.494,8,2026-06-30T21:58:54.033301+00:00,2
gang-iqm-garnet-fluence-n9-q10,fluence,iqm_garnet,9,8,100,10,42,True,54.221,45.551,5.694,5.29,8,2026-06-30T21:59:56.516999+00:00,3
gang-iqm-garnet-fluence-n9-q10,fluence,iqm_garnet,9,8,100,10,42,True,64.43,31.527,3.941,5.477,8,2026-06-30T22:01:09.234300+00:00,4
gang-iqm-garnet-fluence-n9-q10,fluence,iqm_garnet,9,8,100,10,42,True,53.686,46.053,5.757,7.077,8,2026-06-30T22:02:10.851488+00:00,5
