run_name,scheduler,backend,n_pods,n_consumers,n_shots,n_nodes,seed,job_ok,batch_wall_s,total_consumer_idle_s,mean_consumer_idle_s,qpu_queue_wait_s,n_consumers_observed,timestamp,repeat
gang-sv1-default-n3-q10,default,sv1,3,2,1000,10,42,True,22.546,17.099,8.55,3.611,2,2026-06-28T01:47:35.693124+00:00,1
gang-sv1-default-n3-q10,default,sv1,3,2,1000,10,42,True,22.438,17.021,8.51,3.179,2,2026-06-28T01:48:03.916804+00:00,2
gang-sv1-default-n3-q10,default,sv1,3,2,1000,10,42,True,22.462,17.282,8.641,3.661,2,2026-06-28T01:48:32.087759+00:00,3
gang-sv1-default-n3-q10,default,sv1,3,2,1000,10,42,True,23.51,17.147,8.574,2.959,2,2026-06-28T01:49:01.421393+00:00,4
gang-sv1-default-n3-q10,default,sv1,3,2,1000,10,42,True,22.603,17.057,8.528,3.387,2,2026-06-28T01:49:29.868499+00:00,5
gang-sv1-default-n5-q10,default,sv1,5,4,1000,10,42,True,22.54,34.397,8.599,2.926,4,2026-06-28T01:49:59.389563+00:00,1
gang-sv1-default-n5-q10,default,sv1,5,4,1000,10,42,True,22.609,34.534,8.634,3.766,4,2026-06-28T01:50:28.800096+00:00,2
gang-sv1-default-n5-q10,default,sv1,5,4,1000,10,42,True,22.715,34.407,8.602,3.932,4,2026-06-28T01:50:58.795129+00:00,3
gang-sv1-default-n5-q10,default,sv1,5,4,1000,10,42,True,22.512,34.431,8.608,3.668,4,2026-06-28T01:51:28.249766+00:00,4
gang-sv1-default-n5-q10,default,sv1,5,4,1000,10,42,True,22.643,34.676,8.669,2.947,4,2026-06-28T01:51:58.144293+00:00,5
gang-sv1-default-n9-q10,default,sv1,9,8,1000,10,42,True,22.713,75.209,9.401,3.453,8,2026-06-28T01:52:29.780688+00:00,1
gang-sv1-default-n9-q10,default,sv1,9,8,1000,10,42,True,22.702,75.55,9.444,4.348,8,2026-06-28T01:53:01.287563+00:00,2
gang-sv1-default-n9-q10,default,sv1,9,8,1000,10,42,True,22.631,74.824,9.353,3.124,8,2026-06-28T01:53:32.675356+00:00,3
gang-sv1-default-n9-q10,default,sv1,9,8,1000,10,42,True,22.616,77.561,9.695,3.273,8,2026-06-28T01:54:04.122695+00:00,4
gang-sv1-default-n9-q10,default,sv1,9,8,1000,10,42,True,22.559,75.273,9.409,3.35,8,2026-06-28T01:54:35.665155+00:00,5
gang-sv1-fluence-n3-q10,fluence,sv1,3,2,1000,10,42,True,76.153,6.671,3.335,3.148,2,2026-06-28T01:55:58.220809+00:00,1
gang-sv1-fluence-n3-q10,fluence,sv1,3,2,1000,10,42,True,54.662,6.221,3.11,4.129,2,2026-06-28T01:57:00.010972+00:00,2
gang-sv1-fluence-n3-q10,fluence,sv1,3,2,1000,10,42,True,54.655,6.328,3.164,3.595,2,2026-06-28T01:58:02.206989+00:00,3
gang-sv1-fluence-n3-q10,fluence,sv1,3,2,1000,10,42,True,54.573,6.351,3.175,3.423,2,2026-06-28T01:59:02.798355+00:00,4
gang-sv1-fluence-n3-q10,fluence,sv1,3,2,1000,10,42,True,54.522,6.301,3.151,3.311,2,2026-06-28T02:00:03.248821+00:00,5
gang-sv1-fluence-n5-q10,fluence,sv1,5,4,1000,10,42,True,54.836,16.727,4.182,3.635,4,2026-06-28T02:01:05.165344+00:00,1
gang-sv1-fluence-n5-q10,fluence,sv1,5,4,1000,10,42,True,54.596,16.905,4.226,4.364,4,2026-06-28T02:02:07.054076+00:00,2
gang-sv1-fluence-n5-q10,fluence,sv1,5,4,1000,10,42,True,56.945,17.044,4.261,3.903,4,2026-06-28T02:03:11.548078+00:00,3
gang-sv1-fluence-n5-q10,fluence,sv1,5,4,1000,10,42,True,54.854,16.619,4.155,3.552,4,2026-06-28T02:04:13.709444+00:00,4
gang-sv1-fluence-n5-q10,fluence,sv1,5,4,1000,10,42,True,54.71,16.645,4.161,3.677,4,2026-06-28T02:05:15.869625+00:00,5
gang-sv1-fluence-n9-q10,fluence,sv1,9,8,1000,10,42,True,65.867,66.145,8.268,3.347,8,2026-06-28T02:06:31.763163+00:00,1
gang-sv1-fluence-n9-q10,fluence,sv1,9,8,1000,10,42,True,65.421,62.238,7.78,3.364,8,2026-06-28T02:07:47.063003+00:00,2
gang-sv1-fluence-n9-q10,fluence,sv1,9,8,1000,10,42,True,65.371,60.882,7.61,3.802,8,2026-06-28T02:09:02.512543+00:00,3
gang-sv1-fluence-n9-q10,fluence,sv1,9,8,1000,10,42,True,65.541,66.728,8.341,3.449,8,2026-06-28T02:10:17.439329+00:00,4
gang-sv1-fluence-n9-q10,fluence,sv1,9,8,1000,10,42,True,65.391,62.341,7.793,3.594,8,2026-06-28T02:11:32.058026+00:00,5
