run_name,backend,scheduler,n_workers,n_nodes,n_shots,seed,batch_wall_s,leader_wall_s,qpu_queue_wait_s,leader_submit_to_result_s,total_worker_idle_s,avg_worker_idle_s,worker_node_seconds,n_workers_completed,leader_failed,cost_aggregated,workers_completed,timestamp,repeat,worker_0_idle_s,worker_1_idle_s,worker_2_idle_s,worker_3_idle_s,worker_4_idle_s,worker_5_idle_s,worker_6_idle_s,worker_7_idle_s
gang-tn1-default-w2-q10,tn1,default,2,10,1000,42,54.078,48.0,27.502,29.872,75.932,37.966,75.932,2,False,,2,2026-06-23T19:40:52.506383+00:00,1,38.056,37.876,,,,,,
gang-tn1-default-w2-q10,tn1,default,2,10,1000,42,43.497,35.0,16.404,18.122,54.141,27.071,54.141,2,False,,2,2026-06-23T19:41:42.159901+00:00,2,27.127,27.015,,,,,,
gang-tn1-default-w2-q10,tn1,default,2,10,1000,42,43.304,35.0,15.278,17.649,55.229,27.615,55.229,2,False,,2,2026-06-23T19:42:31.555945+00:00,3,27.553,27.677,,,,,,
gang-tn1-default-w2-q10,tn1,default,2,10,1000,42,43.571,33.0,15.466,16.917,55.972,27.986,55.972,2,False,,2,2026-06-23T19:43:21.620176+00:00,4,28.091,27.882,,,,,,
gang-tn1-default-w2-q10,tn1,default,2,10,1000,42,43.351,35.0,15.256,17.592,54.913,27.457,54.913,2,False,,2,2026-06-23T19:44:11.199632+00:00,5,27.32,27.593,,,,,,
gang-tn1-default-w2-q10,tn1,default,2,10,1000,42,43.459,35.0,15.376,16.737,55.147,27.574,55.147,2,False,,2,2026-06-23T19:45:00.781026+00:00,6,27.561,27.586,,,,,,
gang-tn1-default-w2-q10,tn1,default,2,10,1000,42,43.419,35.0,15.292,17.133,55.284,27.642,55.284,2,False,,2,2026-06-23T19:45:50.902096+00:00,7,27.658,27.626,,,,,,
gang-tn1-default-w2-q10,tn1,default,2,10,1000,42,43.377,34.0,15.526,16.976,54.491,27.246,54.491,2,False,,2,2026-06-23T19:46:40.336264+00:00,8,27.214,27.277,,,,,,
gang-tn1-default-w2-q10,tn1,default,2,10,1000,42,43.409,35.0,15.459,17.163,56.738,28.369,56.738,2,False,,2,2026-06-23T19:47:29.850297+00:00,9,27.836,28.902,,,,,,
gang-tn1-default-w2-q10,tn1,default,2,10,1000,42,43.445,35.0,15.515,17.153,55.018,27.509,55.018,2,False,,2,2026-06-23T19:48:20.155322+00:00,10,27.49,27.528,,,,,,
gang-tn1-default-w4-q10,tn1,default,4,10,1000,42,44.578,33.0,17.7,19.693,111.268,27.817,111.268,4,False,,4,2026-06-23T19:49:12.820204+00:00,1,28.029,28.033,28.158,27.049,,,,
gang-tn1-default-w4-q10,tn1,default,4,10,1000,42,45.096,35.0,15.549,17.355,109.572,27.393,109.572,4,False,,4,2026-06-23T19:50:06.155686+00:00,2,27.211,27.508,27.322,27.531,,,,
gang-tn1-default-w4-q10,tn1,default,4,10,1000,42,44.416,36.0,16.645,18.054,108.823,27.206,108.823,4,False,,4,2026-06-23T19:50:58.922041+00:00,3,27.152,27.167,27.155,27.349,,,,
gang-tn1-default-w4-q10,tn1,default,4,10,1000,42,45.266,35.0,15.494,17.061,109.818,27.454,109.818,4,False,,4,2026-06-23T19:51:52.983193+00:00,4,27.632,27.374,27.323,27.488,,,,
gang-tn1-default-w4-q10,tn1,default,4,10,1000,42,45.19,35.0,15.504,16.973,111.479,27.87,111.479,4,False,,4,2026-06-23T19:52:46.538101+00:00,5,27.802,27.993,27.857,27.827,,,,
gang-tn1-default-w4-q10,tn1,default,4,10,1000,42,44.404,35.0,15.523,17.13,111.064,27.766,111.064,4,False,,4,2026-06-23T19:53:39.400394+00:00,6,27.743,27.838,27.667,27.816,,,,
gang-tn1-default-w4-q10,tn1,default,4,10,1000,42,44.383,32.0,16.521,18.933,112.193,28.048,112.193,4,False,,4,2026-06-23T19:54:31.934903+00:00,7,28.024,28.101,28.035,28.033,,,,
gang-tn1-default-w4-q10,tn1,default,4,10,1000,42,44.414,35.0,15.449,17.318,109.561,27.39,109.561,4,False,,4,2026-06-23T19:55:24.980628+00:00,8,27.408,27.342,27.278,27.533,,,,
gang-tn1-default-w4-q10,tn1,default,4,10,1000,42,44.383,35.0,15.573,17.267,110.602,27.65,110.602,4,False,,4,2026-06-23T19:56:17.350742+00:00,9,27.732,27.589,27.68,27.6,,,,
gang-tn1-default-w4-q10,tn1,default,4,10,1000,42,44.412,35.0,15.415,16.759,110.288,27.572,110.288,4,False,,4,2026-06-23T19:57:10.458252+00:00,10,27.647,27.542,27.608,27.491,,,,
gang-tn1-default-w8-q10,tn1,default,8,10,1000,42,57.377,51.0,29.992,31.321,347.131,43.391,347.131,8,False,,8,2026-06-23T19:58:19.913844+00:00,1,43.083,44.024,43.041,43.047,44.001,42.917,43.075,43.942
gang-tn1-default-w8-q10,tn1,default,8,10,1000,42,46.748,36.0,15.682,17.263,222.973,27.872,222.973,8,False,,8,2026-06-23T19:59:18.734988+00:00,2,27.904,27.689,27.912,28.014,27.752,28.048,27.869,27.785
gang-tn1-default-w8-q10,tn1,default,8,10,1000,42,46.788,33.0,16.424,18.55,224.795,28.099,224.795,8,False,,8,2026-06-23T20:00:18.204832+00:00,3,27.846,28.054,28.549,28.572,28.116,27.846,28.024,27.787
gang-tn1-default-w8-q10,tn1,default,8,10,1000,42,57.586,44.0,16.62,18.16,272.71,34.089,272.71,8,False,,8,2026-06-23T20:01:28.462651+00:00,4,34.349,36.241,32.667,32.504,35.665,33.466,35.129,32.689
gang-tn1-default-w8-q10,tn1,default,8,10,1000,42,46.715,38.0,16.389,18.529,221.038,27.63,221.038,8,False,,8,2026-06-23T20:02:27.554992+00:00,5,27.539,27.542,27.696,27.732,27.845,27.584,27.542,27.557
gang-tn1-default-w8-q10,tn1,default,8,10,1000,42,47.172,36.0,14.523,16.412,222.015,27.752,222.015,8,False,,8,2026-06-23T20:03:27.278269+00:00,6,27.759,27.811,28.009,27.731,27.727,27.614,27.584,27.779
gang-tn1-default-w8-q10,tn1,default,8,10,1000,42,47.356,37.0,15.408,17.394,225.757,28.22,225.757,8,False,,8,2026-06-23T20:04:27.204510+00:00,7,28.211,28.003,28.404,28.16,28.444,28.153,28.052,28.329
gang-tn1-default-w8-q10,tn1,default,8,10,1000,42,47.961,37.0,15.349,17.501,227.48,28.435,227.48,8,False,,8,2026-06-23T20:05:27.184183+00:00,8,27.992,29.482,27.673,28.027,27.986,29.374,29.156,27.788
gang-tn1-default-w8-q10,tn1,default,8,10,1000,42,46.761,38.0,16.447,19.039,226.438,28.305,226.438,8,False,,8,2026-06-23T20:06:26.348159+00:00,9,28.207,28.351,28.475,28.174,28.482,28.36,28.139,28.249
gang-tn1-default-w8-q10,tn1,default,8,10,1000,42,47.567,36.0,15.48,16.72,226.329,28.291,226.329,8,False,,8,2026-06-23T20:07:25.905391+00:00,10,28.214,28.55,28.418,28.326,28.407,28.212,28.11,28.092
gang-tn1-fluence-w2-q10,tn1,fluence,2,10,1000,42,54.192,34.0,1.826,3.618,5.098,2.549,5.098,2,False,,2,2026-06-23T20:08:27.318031+00:00,1,2.424,2.674,,,,,,
gang-tn1-fluence-w2-q10,tn1,fluence,2,10,1000,42,54.171,35.0,2.015,4.009,4.388,2.194,4.388,2,False,,2,2026-06-23T20:09:26.989833+00:00,2,2.101,2.287,,,,,,
gang-tn1-fluence-w2-q10,tn1,fluence,2,10,1000,42,54.286,35.0,1.881,3.689,5.154,2.577,5.154,2,False,,2,2026-06-23T20:10:26.748504+00:00,3,2.516,2.638,,,,,,
gang-tn1-fluence-w2-q10,tn1,fluence,2,10,1000,42,54.152,35.0,1.854,4.154,5.288,2.644,5.288,2,False,,2,2026-06-23T20:11:26.384618+00:00,4,3.057,2.231,,,,,,
gang-tn1-fluence-w2-q10,tn1,fluence,2,10,1000,42,54.504,35.0,1.845,3.802,5.06,2.53,5.06,2,False,,2,2026-06-23T20:12:26.642303+00:00,5,2.456,2.605,,,,,,
gang-tn1-fluence-w2-q10,tn1,fluence,2,10,1000,42,54.397,35.0,1.932,3.56,5.09,2.545,5.09,2,False,,2,2026-06-23T20:13:26.472192+00:00,6,2.433,2.657,,,,,,
gang-tn1-fluence-w2-q10,tn1,fluence,2,10,1000,42,54.091,35.0,1.846,3.505,4.546,2.273,4.546,2,False,,2,2026-06-23T20:14:25.988160+00:00,7,2.233,2.313,,,,,,
gang-tn1-fluence-w2-q10,tn1,fluence,2,10,1000,42,54.21,35.0,1.976,3.257,4.05,2.025,4.05,2,False,,2,2026-06-23T20:15:25.560087+00:00,8,1.957,2.093,,,,,,
gang-tn1-fluence-w2-q10,tn1,fluence,2,10,1000,42,54.5,33.0,1.961,3.488,4.154,2.077,4.154,2,False,,2,2026-06-23T20:16:25.592621+00:00,9,1.941,2.212,,,,,,
gang-tn1-fluence-w2-q10,tn1,fluence,2,10,1000,42,53.96,34.0,1.835,4.715,4.759,2.379,4.759,2,False,,2,2026-06-23T20:17:25.040422+00:00,10,2.613,2.146,,,,,,
gang-tn1-fluence-w4-q10,tn1,fluence,4,10,1000,42,55.513,36.0,2.014,4.605,11.27,2.817,11.27,4,False,,4,2026-06-23T20:18:27.995011+00:00,1,2.943,2.747,2.862,2.718,,,,
gang-tn1-fluence-w4-q10,tn1,fluence,4,10,1000,42,55.905,35.0,1.869,3.477,11.251,2.813,11.251,4,False,,4,2026-06-23T20:19:31.393556+00:00,2,2.807,2.88,3.068,2.496,,,,
gang-tn1-fluence-w4-q10,tn1,fluence,4,10,1000,42,55.5,36.0,1.855,3.503,10.786,2.696,10.786,4,False,,4,2026-06-23T20:20:34.854411+00:00,3,2.813,2.89,2.265,2.817,,,,
gang-tn1-fluence-w4-q10,tn1,fluence,4,10,1000,42,55.51,35.0,1.864,3.87,11.233,2.808,11.233,4,False,,4,2026-06-23T20:21:37.987683+00:00,4,2.767,3.106,2.56,2.8,,,,
gang-tn1-fluence-w4-q10,tn1,fluence,4,10,1000,42,55.357,34.0,2.028,5.001,10.168,2.542,10.168,4,False,,4,2026-06-23T20:22:40.793255+00:00,5,2.205,2.662,2.985,2.316,,,,
gang-tn1-fluence-w4-q10,tn1,fluence,4,10,1000,42,55.482,35.0,1.812,3.648,11.031,2.758,11.031,4,False,,4,2026-06-23T20:23:44.465430+00:00,6,2.467,2.876,3.168,2.521,,,,
gang-tn1-fluence-w4-q10,tn1,fluence,4,10,1000,42,56.257,34.0,1.845,3.552,11.443,2.861,11.443,4,False,,4,2026-06-23T20:24:48.166531+00:00,7,2.995,2.364,2.893,3.191,,,,
gang-tn1-fluence-w4-q10,tn1,fluence,4,10,1000,42,55.3,35.0,1.72,4.417,11.363,2.841,11.363,4,False,,4,2026-06-23T20:25:52.419084+00:00,8,2.692,2.941,2.609,3.123,,,,
gang-tn1-fluence-w4-q10,tn1,fluence,4,10,1000,42,55.515,35.0,1.905,3.638,9.788,2.447,9.788,4,False,,4,2026-06-23T20:26:55.396293+00:00,9,2.208,2.505,2.805,2.27,,,,
