scheduler,rep,gang,app,size,pod,node,created_at,scheduled_at,ready_at,app_start_at,app_end_at
default,1,qmcpack-n1-2f1ae8,qmcpack,1,qmcpack-n1-2f1ae8-0-nzt6d,gke-fluence-gang-default-pool-014898e6-3b1g,2026-07-01T13:58:57+00:00,2026-07-01T13:58:57+00:00,2026-07-01T13:59:07+00:00,2026-07-01T13:59:07+00:00,2026-07-01T13:59:13+00:00
default,1,qmcpack-n4-be4881,qmcpack,4,qmcpack-n4-be4881-0-l2dmf,gke-fluence-gang-default-pool-014898e6-xshv,2026-07-01T13:58:57+00:00,2026-07-01T13:58:58+00:00,2026-07-01T13:59:07+00:00,2026-07-01T13:59:07+00:00,2026-07-01T13:59:37+00:00
default,1,qmcpack-n4-be4881,qmcpack,4,qmcpack-n4-be4881-1-nddw6,gke-fluence-gang-default-pool-014898e6-8rjt,2026-07-01T13:58:58+00:00,2026-07-01T13:58:58+00:00,2026-07-01T13:59:07+00:00,2026-07-01T13:59:07+00:00,2026-07-01T13:59:37+00:00
default,1,qmcpack-n4-be4881,qmcpack,4,qmcpack-n4-be4881-2-8xxfd,gke-fluence-gang-default-pool-014898e6-775d,2026-07-01T13:58:58+00:00,2026-07-01T13:58:58+00:00,2026-07-01T13:59:07+00:00,2026-07-01T13:59:07+00:00,2026-07-01T13:59:37+00:00
default,1,qmcpack-n4-be4881,qmcpack,4,qmcpack-n4-be4881-3-wnb9v,gke-fluence-gang-default-pool-014898e6-3b1g,2026-07-01T13:58:58+00:00,2026-07-01T13:59:20+00:00,2026-07-01T13:59:30+00:00,2026-07-01T13:59:30+00:00,2026-07-01T13:59:37+00:00
default,1,lammps-n2-e346ae,lammps,2,lammps-n2-e346ae-0-prbnp,gke-fluence-gang-default-pool-014898e6-8rjt,2026-07-01T13:58:58+00:00,2026-07-01T13:59:38+00:00,2026-07-01T13:59:48+00:00,2026-07-01T13:59:48+00:00,2026-07-01T14:00:32+00:00
default,1,lammps-n2-e346ae,lammps,2,lammps-n2-e346ae-1-ssbwx,gke-fluence-gang-default-pool-014898e6-xshv,2026-07-01T13:58:58+00:00,2026-07-01T13:59:38+00:00,2026-07-01T13:59:48+00:00,2026-07-01T13:59:48+00:00,2026-07-01T14:00:32+00:00
default,1,lammps-n1-f2ef5b,lammps,1,lammps-n1-f2ef5b-0-hmmbn,gke-fluence-gang-default-pool-014898e6-775d,2026-07-01T13:58:59+00:00,2026-07-01T13:59:38+00:00,2026-07-01T13:59:48+00:00,2026-07-01T13:59:48+00:00,2026-07-01T14:01:02+00:00
default,1,lammps-n4-a73986,lammps,4,lammps-n4-a73986-0-wzszm,gke-fluence-gang-default-pool-014898e6-3b1g,2026-07-01T13:58:59+00:00,2026-07-01T13:59:43+00:00,2026-07-01T13:59:53+00:00,2026-07-01T13:59:53+00:00,2026-07-01T14:01:42+00:00
default,1,lammps-n4-a73986,lammps,4,lammps-n4-a73986-1-fv6q5,gke-fluence-gang-default-pool-014898e6-xshv,2026-07-01T13:58:59+00:00,2026-07-01T14:00:34+00:00,2026-07-01T14:00:44+00:00,2026-07-01T14:00:44+00:00,2026-07-01T14:01:42+00:00
default,1,lammps-n4-a73986,lammps,4,lammps-n4-a73986-2-mqzck,gke-fluence-gang-default-pool-014898e6-8rjt,2026-07-01T13:58:59+00:00,2026-07-01T14:00:34+00:00,2026-07-01T14:00:44+00:00,2026-07-01T14:00:44+00:00,2026-07-01T14:01:42+00:00
default,1,lammps-n4-a73986,lammps,4,lammps-n4-a73986-3-hjc7s,gke-fluence-gang-default-pool-014898e6-775d,2026-07-01T13:59:00+00:00,2026-07-01T14:01:04+00:00,2026-07-01T14:01:14+00:00,2026-07-01T14:01:14+00:00,2026-07-01T14:01:42+00:00
default,1,amg-n2-77891f,amg,2,amg-n2-77891f-0-kjn5v,gke-fluence-gang-default-pool-014898e6-3b1g,2026-07-01T13:59:00+00:00,2026-07-01T14:01:43+00:00,2026-07-01T14:01:53+00:00,2026-07-01T14:01:53+00:00,2026-07-01T14:03:18+00:00
default,1,amg-n2-77891f,amg,2,amg-n2-77891f-1-mggdq,gke-fluence-gang-default-pool-014898e6-8rjt,2026-07-01T13:59:00+00:00,2026-07-01T14:01:43+00:00,2026-07-01T14:01:53+00:00,2026-07-01T14:01:53+00:00,2026-07-01T14:03:18+00:00
default,1,qmcpack-n2-d21acd,qmcpack,2,qmcpack-n2-d21acd-0-k56g7,gke-fluence-gang-default-pool-014898e6-xshv,2026-07-01T13:59:01+00:00,2026-07-01T14:01:44+00:00,2026-07-01T14:01:54+00:00,2026-07-01T14:01:53+00:00,2026-07-01T14:02:01+00:00
default,1,qmcpack-n2-d21acd,qmcpack,2,qmcpack-n2-d21acd-1-29vg5,gke-fluence-gang-default-pool-014898e6-775d,2026-07-01T13:59:01+00:00,2026-07-01T14:01:44+00:00,2026-07-01T14:01:54+00:00,2026-07-01T14:01:54+00:00,2026-07-01T14:02:01+00:00
default,1,amg-n1-864025,amg,1,amg-n1-864025-0-dzxw5,gke-fluence-gang-default-pool-014898e6-775d,2026-07-01T13:59:01+00:00,2026-07-01T14:02:07+00:00,2026-07-01T14:02:17+00:00,2026-07-01T14:02:17+00:00,2026-07-01T14:03:35+00:00
default,1,amg-n4-d41ab2,amg,4,amg-n4-d41ab2-0-lw9sq,gke-fluence-gang-default-pool-014898e6-xshv,2026-07-01T13:59:02+00:00,2026-07-01T14:02:08+00:00,2026-07-01T14:02:17+00:00,2026-07-01T14:02:17+00:00,2026-07-01T14:05:16+00:00
default,1,amg-n4-d41ab2,amg,4,amg-n4-d41ab2-1-2c9wb,gke-fluence-gang-default-pool-014898e6-3b1g,2026-07-01T13:59:03+00:00,2026-07-01T14:03:19+00:00,2026-07-01T14:03:29+00:00,2026-07-01T14:03:29+00:00,2026-07-01T14:05:16+00:00
default,1,amg-n4-d41ab2,amg,4,amg-n4-d41ab2-2-kp9vx,gke-fluence-gang-default-pool-014898e6-8rjt,2026-07-01T13:59:03+00:00,2026-07-01T14:03:20+00:00,2026-07-01T14:03:30+00:00,2026-07-01T14:03:30+00:00,2026-07-01T14:05:16+00:00
default,1,amg-n4-d41ab2,amg,4,amg-n4-d41ab2-3-xrxzr,gke-fluence-gang-default-pool-014898e6-775d,2026-07-01T13:59:03+00:00,2026-07-01T14:03:37+00:00,2026-07-01T14:03:47+00:00,2026-07-01T14:03:47+00:00,2026-07-01T14:05:16+00:00
fluence,1,lammps-n4-3a8142,lammps,4,lammps-n4-3a8142-0-tkhx6,gke-fluence-gang-default-pool-014898e6-xshv,2026-07-01T14:05:45+00:00,2026-07-01T14:05:45+00:00,2026-07-01T14:05:54+00:00,2026-07-01T14:05:54+00:00,2026-07-01T14:06:23+00:00
fluence,1,lammps-n4-3a8142,lammps,4,lammps-n4-3a8142-1-g6kfb,gke-fluence-gang-default-pool-014898e6-8rjt,2026-07-01T14:05:45+00:00,2026-07-01T14:05:45+00:00,2026-07-01T14:05:54+00:00,2026-07-01T14:05:54+00:00,2026-07-01T14:06:23+00:00
